date,core_cpiUS,energy,food,ext_gdp,imp_us
2/1/2020,2.375759434,-18.91709606,2.36834892,-2.288163915,-1.270849881
3/1/2020,2.117207765,-46.70441992,-0.880174935,-1.786828191,-4.186413902
4/1/2020,1.455576848,-63.29419731,-8.502155685,-1.583817972,-6.782334385
5/1/2020,1.252282509,-52.00130408,-1.608231462,-2.147591349,-6.299212598
6/1/2020,1.195307003,-33.28454024,-0.406308823,-0.572850493,-3.98089172
7/1/2020,1.541229112,-31.514778,-2.629105942,0.078001594,-2.786624204
8/1/2020,1.713896303,-20.98170934,0.369680692,-0.064419643,-1.361088871
9/1/2020,1.724945954,-26.84403522,4.108765772,-0.19900249,-1.28
10/1/2020,1.627430486,-22.54677128,9.302498399,0.071818875,-0.963855422
11/1/2020,1.640542302,-22.39959494,8.114600962,-0.528637168,-1.042502005
12/1/2020,1.596285119,-10.23494734,5.273022964,-0.433573592,-0.32
1/1/2021,1.387293651,8.944677923,10.45167566,0.098202271,1.038338658
2/1/2021,1.287614712,30.02711466,18.16411106,-0.092782396,2.976669348
3/1/2021,1.660072832,93.61048349,25.78332207,0.449061188,7.089859852
4/1/2021,2.971731303,171.6282291,39.61969921,0.819139827,10.91370558
5/1/2021,3.806013418,132.0357219,40.11637996,1.144481096,11.59663866
6/1/2021,4.44740086,108.2840363,27.94457731,1.110505601,11.27694859
7/1/2021,4.201800024,110.643295,32.15175875,1.26050393,10.23751024
8/1/2021,3.961855417,97.9906517,33.36521355,1.543812965,9.00974026
9/1/2021,4.036752467,136.0797672,27.05868855,1.802985143,9.319286872
10/1/2021,4.593958386,175.7502069,21.51461642,2.007080412,11.03000811
11/1/2021,4.952634388,136.9153278,19.69360681,0.975603915,11.75040519
12/1/2021,5.476620837,103.1129079,21.93166801,1.002370397,10.27287319
